"time","CR","HM","HT"
"05/02/2025 10:21:04","920","25.6","32.8"
"05/02/2025 10:26:04","899","25.6","32.8"
"05/02/2025 10:31:03","908","25.5","33"
"05/02/2025 10:36:05","903","25.5","33.1"
"05/02/2025 10:41:04","925","25.3","33.2"
"05/02/2025 11:06:03","896","25.2","33.3"
"05/02/2025 11:11:03","893","25.3","33.5"
"05/02/2025 11:16:03","910","25.3","33.4"
"05/02/2025 11:21:02","893","25.2","33.5"
"05/02/2025 11:26:02","915","25.1","33.5"
"05/02/2025 11:31:03","891","25.1","33.5"
"05/02/2025 11:36:01","888","25","33.5"
"05/02/2025 11:41:00","899","25","33.5"
"05/02/2025 11:46:01","895","25.1","33.5"
"05/02/2025 11:51:00","908","24.9","33.6"
"05/02/2025 11:56:00","907","24.9","33.6"
"05/02/2025 12:01:01","895","25","33.6"
"05/02/2025 12:04:45","908","25","33.6"
"05/02/2025 12:06:01","909","25","33.6"
"05/02/2025 12:11:01","881","25.1","33.7"
"05/02/2025 12:16:00","914","24.8","33.8"
"05/02/2025 12:21:00","912","24.6","33.8"
"05/02/2025 12:25:59","930","24.3","33.8"
"05/02/2025 12:30:59","929","24.3","33.8"
"05/02/2025 12:35:58","928","24.2","33.8"
"05/02/2025 12:40:58","909","24","33.8"
"05/02/2025 12:45:58","919","24.5","33.6"
"05/02/2025 12:50:57","909","24.4","33.8"
"05/02/2025 12:55:57","921","24.3","33.9"
"05/02/2025 13:00:58","892","24.3","34"
"05/02/2025 13:05:58","900","24.2","34"
"05/02/2025 13:10:57","925","24.2","34"
"05/02/2025 13:15:58","923","24.3","34"
"05/02/2025 13:20:57","919","24.3","34"
"05/02/2025 13:25:58","909","24.3","33.9"
"05/02/2025 13:30:57","922","24.3","34"
"05/02/2025 13:35:59","923","24.2","34.1"
"05/02/2025 13:40:59","923","24.3","34"
"05/02/2025 13:45:59","916","24.3","34.1"
"05/02/2025 13:50:58","893","24.2","34.1"
"05/02/2025 13:55:58","931","24.2","34.1"
"05/02/2025 14:00:58","898","24.2","34.2"
"05/02/2025 14:05:57","894","24.2","34.2"
"05/02/2025 14:10:57","904","24.2","34.2"
"05/02/2025 14:15:57","905","24.2","34.1"
"05/02/2025 14:20:57","914","24.4","34"
"05/02/2025 14:25:56","905","24.2","34.2"
"05/02/2025 14:30:56","895","24.3","34.2"
"05/02/2025 14:35:56","897","24.4","34.2"
"05/02/2025 14:40:56","907","24.5","34.2"
"05/02/2025 14:45:57","908","24.6","34"
"05/02/2025 14:50:55","883","24.5","34.1"
"05/02/2025 14:55:56","892","24.6","34.1"
"05/02/2025 15:00:55","891","24.6","34.1"
"05/02/2025 15:05:55","890","24.5","34.2"
